id,title,authors,pub_date,venue,volume,issue,page,type,publisher,editor
tmp:gesis-ssoar-92076_ref-0_block-1919712,Reinventing Government or Reinventing Politics? The Ame- rican Experience,"Aberbach, Joel Bert Rockman",2004,"Politicians, Bureaucrats and Administrative Re- form",,,24-34,book chapter,Routledge,"Peters, Guy Pierre; Jon, "
tmp:gesis-ssoar-92076_ref-1_block-1604292,,"Albrow, Martin",1970,,,,,book,Praeger Publishers,
doi:10.2307/1853727,Political Institutions and Social Change in Conti- nental Europe in the Nineteenth Century,"Anderson, Eugene Anderson; R, Pauline",1967,,,,,book,University of California Press,
openalex:W2088764985,Breaking through Bureaucracy: A New Vision for Managing in Government,"Barzelay, Michael",1992,,,,,book,University of California Press,
econbiz:10000043383,Max Weber: An Intellectual Portrait,"Bendix, Reinhard",1977,,,,,book,University of California Press,
doi:10.1016/j.soscij.2007.03.004,Madison's Managers: Public Administration and the Constitution,"Bertelli, Anthony Lynn; E., Laurence",2006,,,,,book,Johns Hopkins University Press,
doi:10.2307/2141831,Organized Democracy: An Introduction to the Study of American Poli- tics,"Cleveland, Frederick",1913,,,,,book,Longmans,
doi:10.2307/972349,The Science of Public Administration: Three Problems,"Dahl, Robert",1947,Public Administration Review,7,,1-11,journal article,,
doi:10.1111/0033-3352.00117,The New Public Service: Serving Rather than Steering,"Denhardt, Robert Denhardt; Vinzant, Janet",2000,Public Administration Review,60,,,journal article,,
doi:10.2307/3307465,"Administrative Justice and the Supremacy of Law in the United States, Cam","Dickinson, John",1927,,,,,book,Harvard University Press,
doi:10.2307/1946651,"Democratic Realities and Democratic Dogma, in","Dickinson, John",1930,The American Political Sci- ence Review,24,,283-309,journal article,,
doi:10.2307/1961997,The Search for Government Efficiency: From Hubris to Helplessness,"Downs, George Larkey; D, Patrick",1986,,,,,book,Random House,
tmp:gesis-ssoar-92076_ref-12_block-1604293,The History of Public Administration,"Ellwein, Thomas",2001,Public Administration in Germany,,,33-45,book chapter,Nomos Verlagsgesellschaft,"König, Klaus Seidentopf; Heinrich, "
doi:10.2307/976450,Comparing the Reinventing of Government with the New Public Admi- nistration,"Frederickson, George",1996,Public Administration Review,56,,,journal article,,
econbiz:10001384299,Responsible Bureaucracy: A Study of the Swiss Civil Ser,"Friedrich, Carl Joachim Cole; Taylor, ",1932,,,,,book,Harvard University Press,
openalex:W2233154386,Between Autonomy and Subordination: Bureaucratic Legitimacy and Admini- strative Change in Germany,"Goetz, Klaus",1999,Citizens and the New Governance: Beyond New Public Management,,,,book chapter,IOS Press,"Rouban, Luc"
tmp:gesis-ssoar-92076_ref-16_block-2072154,The Waxing and Waning of the State and its Study: Changes and Challenges in the Study of Public Administration,"Raadschelders, Jos Rutgers; R, Mark",1999,The Modern State and its Study: New Administrative Sciences in a Changing Eu- rope and the United States,,,17-35,book chapter,Edward Elgar,"Kickert, Walter Stillman; J, Richard"
tmp:gesis-ssoar-92076_ref-17_block-2017262,Public Sector Reform for Building and Recasting the Welfare State: Experiences in Western Europe,"Raadschelders, Jos Toonen; J, Theo",1999,Research in Public Administration,,,39-62,book chapter,JAI Press,"L, Perry James"
sowiport:csa-ps-200103471,Intergovernmental Relationships and the Federal Performance Movement,"Radin, Beryl",2001,"Quicker, Better, Cheaper? Managing Performance in American Government",,,285-306,book chapter,Rockefeller Institute Press,"Forsythe, Dall"
doi:10.2307/444035,Ideal and Practice in Public Administration,"Redford, Emmette",1958,,,,,book,University of Ala- bama Press,
doi:10.1111/1467-9299.00350,Local Public Management Reforms in Germany,"Reichard, Christoph",2003,Public Administration 81,,,,book chapter,,
econbiz:10003597763,The Study of Public Management in Germany: Poorly Institutionalized and Fragmented,"Reichard, Christoph",2008,The Study of Public Management in Europe and the US: A Comparative Analysis of National Distinctiveness,,,42-69,book chapter,Routledge,"Kickert, Walter; M, J"
doi:10.2307/798149,Civil Servants and Their Constitutions,"Rohr, John",2002,,,,,book,University Press of Kansas,
tmp:gesis-ssoar-92076_ref-23_block-1469062,Building a Legislative-Centered Public Administration,"Rosenbloom, David",2000,,,,,book,Uni- versity of Alabama Press,
sowiport:csa-ps-200117169,Traditional Flavors? The Different Sentiments in European and American Ad- ministrative Thought,"Rutgers, Mark",2001,Administration & Society,33,,,journal article,,
sowiport:csa-ssa-198201467,Rethinking Public Management: Third-Party Government and the Changing Forms of Public Action,"Salamon, Lester",1981,Public Policy 29,,,,book chapter,,
doi:10.2307/972683,Trends of a Decade in Administrative Values,"Sayre, Wallace",1951,Public Administration Re- view 11,,,1-9,book chapter,,
tmp:gesis-ssoar-92076_ref-27_block-2017263,A Solid Rock in Rough Seas? Institutional Change and Continuity in the Ger- man Federal Bureaucracy,"Schröter, Eckhard",2004,"Unbundled Government: A Critical Analysis of the Global Trend to Agencies, Quangos and Contractualisation",,,61-72,book chapter,Routledge,"Pollitt, Christopher Talbot; Colin, "
tmp:gesis-ssoar-92076_ref-28_block-1469063,Administrative Reforms,"Seibel, Wolfgang",2001,Public Administration in Germany,,,73-87,book chapter,Nomos Verlagsgesellschaft,"König, Klaus Seidentopf; Heinrich, "
doi:10.2307/973030,"The Proverbs of Administration, in","Simon, Herbert",1946,Public Administration Review,6,,53-67,journal article,,
doi:10.2307/972716,A Comment on 'The Science of Administration',"Simon, Herbert",1947,Public Administration Re- view 7,,,200-203,book chapter,,
doi:10.2307/20033844,Dismantling Democratic States,"Suleiman, Ezra",2003,,,,,book,Princeton University Press,
tmp:gesis-ssoar-92076_ref-32_block-1784743,Reinventing as Reform,"Thompson, James",2000,"Assessing the National Performance Review, in: Public Administration Review",60,,,journal article,,
tmp:gesis-ssoar-92076_ref-33_block-1857205,Public Sector Reform in Western Europe,"Toonen, Theo A. J./Raadschelders, Jos C. N.,1997, ",5,"Back- ground Paper for Presentation at the Conference on Comparative Civil Service Systems, School of Public and Environmental Affairs (SPEA",,,,proceedings article,Indiana University,
tmp:gesis-ssoar-92076_ref-34_block-1919713,2004a: Results-oriented Government: GPRA Has Established a Solid Foundation for Achieving Greater Results,"Office, Government Accountability",,"US Government Accountability Office (USGAO), 2004b. Performance Budgeting: OMB's Program As- sessment Rating Tool Presents Opportunities and Challenges for Budget and Performance Integrati- on",,,4-439,book chapter,,
doi:10.2307/3478284,The Administrative State: A Study of the Political Theory of Public Administrati- on,"Waldo, Dwight",1948,,,,,book,Ronald,
doi:10.2307/2548408,Introduction to the Study of Public Administration,"White, Leonard",1926,,,,,book,Macmillan,
